0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008          sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60         sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc          pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00000          a0=0x80000040+0x00000000=0x80000040
0x80000044:addi   a0,a0,0x16c         a0=0x80000040+0x0000016c=0x800001ac
0x80000048:auipc  a1,0x00000          a1=0x80000048+0x00000000=0x80000048
0x8000004c:addi   a1,a1,0x164         a1=0x80000048+0x00000164=0x800001ac
0x80000050:sw     zero,0x000(a0)      mem[0x800001ac]=0x00000000
0x80000054:addi   a0,a0,0x004         a0=0x800001ac+0x00000004=0x800001b0
0x80000058:blt    a0,a1,0xffc         (0x800001b0<0x800001ac)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000       pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x0005a          pc=0x80000160,ra=0x800000b0
0x80000160:addi   sp,sp,0xff0         sp=0x80008000+0xfffffff0=0x80007ff0
0x80000164:sw     ra,0x000(sp)        mem[0x80007ff0]=0x800000b0
0x80000168:lui    a0,0x10000          a0=0x10000000
0x8000016c:lui    a1,0x0c000          a1=0x0c000000
0x80000170:lui    a2,0x0c001          a2=0x0c001000
0x80000174:lui    a3,0x0c002          a3=0x0c002000
0x80000178:lui    a4,0x0c200          a4=0x0c200000
0x8000017c:auipc  a5,0x00000          a5=0x8000017c+0x00000000=0x8000017c
0x80000180:addi   a5,a5,0x028         a5=0x8000017c+0x00000028=0x800001a4
0x80000184:jal    ra,0xfffe6          pc=0x80000150,ra=0x80000188
0x80000150:lb     t0,0x002(a0)        t0=mem[0x10000002]=0x00000001
0x80000154:addi   t0,zero,0x002       t0=0x00000000+0x00000002=0x00000002
0x80000158:sb     t0,0x001(a0)        mem[0x10000001]=0x02
0x8000015c:jalr   zero,ra,0x000       pc=0x80000188+0x00000000,zero=0x80000160
0x80000188:jal    ra,0xfffb2          pc=0x800000ec,ra=0x8000018c
0x800000ec:addi   t0,zero,0x001       t0=0x00000000+0x00000001=0x00000001
0x800000f0:sw     t0,0x028(a1)        mem[0x0c000028]=0x00000001
0x800000f4:lw     t0,0x000(a2)        t0=mem[0x0c001000]=0x00000000
0x800000f8:addi   t0,zero,0x400       t0=0x00000000+0x00000400=0x00000400
0x800000fc:sw     t0,0x000(a3)        mem[0x0c002000]=0x00000400
0x80000100:lw     t0,0x000(a4)        t0=mem[0x0c200000]=0x00000000
0x80000104:jalr   zero,ra,0x000       pc=0x8000018c+0x00000000,zero=0x80000108
0x8000018c:jal    ra,0xfffc8          pc=0x8000011c,ra=0x80000190
0x8000011c:auipc  t0,0x00000          t0=0x8000011c+0x00000000=0x8000011c
0x80000120:addi   t0,t0,0xee8         t0=0x8000011c+0xfffffee8=0x80000004
0x80000124:addi   t0,t0,0x001         t0=0x80000004+0x00000001=0x80000005
0x80000128:csrrw  zero,mtvec,t0       zero=mtvec=0x00000000,mtvec=t0=0x80000005
0x8000012c:csrrs  t0,mie,zero         t0=mie=0x00000000,mie|=zero=0x00000000|0x00000000=0x00000000
0x80000130:lui    t1,0x00001          t1=0x00001000
